ts,tz,site_id,metric,value
2024-12-01T17:30:00+01:00,Europe/Paris,FR001,power_mw,52.110
2024-12-01T17:45:00+01:00,Europe/Paris,FR001,power_mw,59.429
2024-12-01T18:00:00+01:00,Europe/Paris,FR001,power_mw,58.764
2024-12-01T18:15:00+01:00,Europe/Paris,FR001,power_mw,53.147
2024-12-01T18:30:00+01:00,Europe/Paris,FR001,power_mw,56.554
2024-12-01T18:45:00+01:00,Europe/Paris,FR001,power_mw,53.956
2024-12-01T19:00:00+01:00,Europe/Paris,FR001,power_mw,59.145
2024-12-01T19:15:00+01:00,Europe/Paris,FR001,power_mw,54.589
2024-12-01T19:30:00+01:00,Europe/Paris,FR001,power_mw,52.649
2024-12-01T19:45:00+01:00,Europe/Paris,FR001,power_mw,52.466
2024-12-01T20:00:00+01:00,Europe/Paris,FR001,power_mw,55.614
2024-12-01T20:15:00+01:00,Europe/Paris,FR001,power_mw,52.627
2024-12-01T20:30:00+01:00,Europe/Paris,FR001,power_mw,55.846
2024-12-01T20:45:00+01:00,Europe/Paris,FR001,power_mw,58.978
2024-12-01T21:00:00+01:00,Europe/Paris,FR001,power_mw,53.994
2024-12-01T21:15:00+01:00,Europe/Paris,FR001,power_mw,52.193
2024-12-01T21:30:00+01:00,Europe/Paris,FR001,power_mw,59.975
2024-12-01T21:45:00+01:00,Europe/Paris,FR001,power_mw,55.095
2024-12-01T22:00:00+01:00,Europe/Paris,FR001,power_mw,50.909
2024-12-01T22:15:00+01:00,Europe/Paris,FR001,power_mw,50.471
2024-12-01T22:30:00+01:00,Europe/Paris,FR001,power_mw,51.096
2024-12-01T22:45:00+01:00,Europe/Paris,FR001,power_mw,56.274
2024-12-01T23:00:00+01:00,Europe/Paris,FR001,power_mw,57.921
2024-12-01T23:15:00+01:00,Europe/Paris,FR001,power_mw,54.222
2024-12-01T23:30:00+01:00,Europe/Paris,FR001,power_mw,50.635
2024-12-01T23:45:00+01:00,Europe/Paris,FR001,power_mw,53.816
